benchmark,gamma,iterations,epsilon,class_count,max_value_error,time_s
tiger_full_actions,0.5,5.0,0.0,6.0,5.551115123125783e-17,0.018
tiger_full_actions,0.5,5.0,0.1,6.0,5.551115123125783e-17,0.0179
tiger_full_actions,0.5,5.0,0.2,6.0,5.551115123125783e-17,0.0479
tiger_full_actions,0.5,5.0,0.3,6.0,5.551115123125783e-17,0.0179
tiger_full_actions,0.5,5.0,0.4,6.0,5.551115123125783e-17,0.0179
tiger_full_actions,0.5,5.0,0.5,5.0,5.551115123125783e-17,0.0181
tiger_full_actions,0.5,5.0,0.6,5.0,5.551115123125783e-17,0.0182
tiger_full_actions,0.5,10.0,0.0,6.0,5.551115123125783e-17,0.0307
tiger_full_actions,0.5,10.0,0.1,6.0,5.551115123125783e-17,0.0311
tiger_full_actions,0.5,10.0,0.2,6.0,5.551115123125783e-17,0.0345
tiger_full_actions,0.5,10.0,0.3,6.0,5.551115123125783e-17,0.0309
tiger_full_actions,0.5,10.0,0.4,6.0,5.551115123125783e-17,0.0306
tiger_full_actions,0.5,10.0,0.5,5.0,5.551115123125783e-17,0.0308
tiger_full_actions,0.5,10.0,0.6,5.0,5.551115123125783e-17,0.0304
tiger_full_actions,0.5,20.0,0.0,6.0,5.551115123125783e-17,0.0546
tiger_full_actions,0.5,20.0,0.1,6.0,5.551115123125783e-17,0.0761
tiger_full_actions,0.5,20.0,0.2,6.0,5.551115123125783e-17,0.0695
tiger_full_actions,0.5,20.0,0.3,6.0,5.551115123125783e-17,0.0823
tiger_full_actions,0.5,20.0,0.4,6.0,5.551115123125783e-17,0.0618
tiger_full_actions,0.5,20.0,0.5,5.0,5.551115123125783e-17,0.0552
tiger_full_actions,0.5,20.0,0.6,5.0,5.551115123125783e-17,0.0595
tiger_full_actions,0.5,50.0,0.0,6.0,5.551115123125783e-17,0.1306
tiger_full_actions,0.5,50.0,0.1,6.0,5.551115123125783e-17,0.1305
tiger_full_actions,0.5,50.0,0.2,6.0,5.551115123125783e-17,0.1293
tiger_full_actions,0.5,50.0,0.3,6.0,5.551115123125783e-17,0.1306
tiger_full_actions,0.5,50.0,0.4,6.0,5.551115123125783e-17,0.1768
tiger_full_actions,0.5,50.0,0.5,5.0,5.551115123125783e-17,0.1777
tiger_full_actions,0.5,50.0,0.6,5.0,5.551115123125783e-17,0.1385
tiger_full_actions,0.7,5.0,0.0,6.0,5.551115123125783e-17,0.0232
tiger_full_actions,0.7,5.0,0.1,6.0,5.551115123125783e-17,0.0186
tiger_full_actions,0.7,5.0,0.2,6.0,5.551115123125783e-17,0.023
tiger_full_actions,0.7,5.0,0.3,6.0,5.551115123125783e-17,0.0209
tiger_full_actions,0.7,5.0,0.4,6.0,5.551115123125783e-17,0.0237
tiger_full_actions,0.7,5.0,0.5,5.0,5.551115123125783e-17,0.0183
tiger_full_actions,0.7,5.0,0.6,5.0,5.551115123125783e-17,0.0177
tiger_full_actions,0.7,10.0,0.0,6.0,5.551115123125783e-17,0.032
tiger_full_actions,0.7,10.0,0.1,6.0,5.551115123125783e-17,0.0309
tiger_full_actions,0.7,10.0,0.2,6.0,5.551115123125783e-17,0.0418
tiger_full_actions,0.7,10.0,0.3,6.0,5.551115123125783e-17,0.0455
tiger_full_actions,0.7,10.0,0.4,6.0,5.551115123125783e-17,0.0449
tiger_full_actions,0.7,10.0,0.5,5.0,5.551115123125783e-17,0.0427
tiger_full_actions,0.7,10.0,0.6,5.0,5.551115123125783e-17,0.0309
tiger_full_actions,0.7,20.0,0.0,6.0,5.551115123125783e-17,0.0554
tiger_full_actions,0.7,20.0,0.1,6.0,5.551115123125783e-17,0.0541
tiger_full_actions,0.7,20.0,0.2,6.0,5.551115123125783e-17,0.058
tiger_full_actions,0.7,20.0,0.3,6.0,5.551115123125783e-17,0.0562
tiger_full_actions,0.7,20.0,0.4,6.0,5.551115123125783e-17,0.0554
tiger_full_actions,0.7,20.0,0.5,5.0,5.551115123125783e-17,0.0543
tiger_full_actions,0.7,20.0,0.6,5.0,5.551115123125783e-17,0.0557
tiger_full_actions,0.7,50.0,0.0,6.0,5.551115123125783e-17,0.129
tiger_full_actions,0.7,50.0,0.1,6.0,5.551115123125783e-17,0.1309
tiger_full_actions,0.7,50.0,0.2,6.0,5.551115123125783e-17,0.1288
tiger_full_actions,0.7,50.0,0.3,6.0,5.551115123125783e-17,0.1293
tiger_full_actions,0.7,50.0,0.4,6.0,5.551115123125783e-17,0.1298
tiger_full_actions,0.7,50.0,0.5,5.0,5.551115123125783e-17,0.1319
tiger_full_actions,0.7,50.0,0.6,5.0,5.551115123125783e-17,0.1302
tiger_full_actions,0.9,5.0,0.0,6.0,5.551115123125783e-17,0.0186
tiger_full_actions,0.9,5.0,0.1,6.0,5.551115123125783e-17,0.0181
tiger_full_actions,0.9,5.0,0.2,6.0,5.551115123125783e-17,0.0184
tiger_full_actions,0.9,5.0,0.3,6.0,5.551115123125783e-17,0.0185
tiger_full_actions,0.9,5.0,0.4,6.0,5.551115123125783e-17,0.018
tiger_full_actions,0.9,5.0,0.5,5.0,5.551115123125783e-17,0.018
tiger_full_actions,0.9,5.0,0.6,5.0,5.551115123125783e-17,0.0179
tiger_full_actions,0.9,10.0,0.0,6.0,5.551115123125783e-17,0.0301
tiger_full_actions,0.9,10.0,0.1,6.0,5.551115123125783e-17,0.0304
tiger_full_actions,0.9,10.0,0.2,6.0,5.551115123125783e-17,0.0313
tiger_full_actions,0.9,10.0,0.3,6.0,5.551115123125783e-17,0.031
tiger_full_actions,0.9,10.0,0.4,6.0,5.551115123125783e-17,0.0307
tiger_full_actions,0.9,10.0,0.5,5.0,5.551115123125783e-17,0.0302
tiger_full_actions,0.9,10.0,0.6,5.0,5.551115123125783e-17,0.0302
tiger_full_actions,0.9,20.0,0.0,6.0,5.551115123125783e-17,0.055
tiger_full_actions,0.9,20.0,0.1,6.0,5.551115123125783e-17,0.0556
tiger_full_actions,0.9,20.0,0.2,6.0,5.551115123125783e-17,0.0563
tiger_full_actions,0.9,20.0,0.3,6.0,5.551115123125783e-17,0.0558
tiger_full_actions,0.9,20.0,0.4,6.0,5.551115123125783e-17,0.0549
tiger_full_actions,0.9,20.0,0.5,5.0,5.551115123125783e-17,0.054
tiger_full_actions,0.9,20.0,0.6,5.0,5.551115123125783e-17,0.0543
tiger_full_actions,0.9,50.0,0.0,6.0,5.551115123125783e-17,0.1275
tiger_full_actions,0.9,50.0,0.1,6.0,5.551115123125783e-17,0.1283
tiger_full_actions,0.9,50.0,0.2,6.0,5.551115123125783e-17,0.1295
tiger_full_actions,0.9,50.0,0.3,6.0,5.551115123125783e-17,0.1267
tiger_full_actions,0.9,50.0,0.4,6.0,5.551115123125783e-17,0.1306
tiger_full_actions,0.9,50.0,0.5,5.0,5.551115123125783e-17,0.1317
tiger_full_actions,0.9,50.0,0.6,5.0,5.551115123125783e-17,0.1313
tiger_full_actions,0.99,5.0,0.0,6.0,5.551115123125783e-17,0.018
tiger_full_actions,0.99,5.0,0.1,6.0,5.551115123125783e-17,0.018
tiger_full_actions,0.99,5.0,0.2,6.0,5.551115123125783e-17,0.0183
tiger_full_actions,0.99,5.0,0.3,6.0,5.551115123125783e-17,0.0185
tiger_full_actions,0.99,5.0,0.4,6.0,5.551115123125783e-17,0.0187
tiger_full_actions,0.99,5.0,0.5,5.0,5.551115123125783e-17,0.0185
tiger_full_actions,0.99,5.0,0.6,5.0,5.551115123125783e-17,0.0185
tiger_full_actions,0.99,10.0,0.0,6.0,5.551115123125783e-17,0.0313
tiger_full_actions,0.99,10.0,0.1,6.0,5.551115123125783e-17,0.0329
tiger_full_actions,0.99,10.0,0.2,6.0,5.551115123125783e-17,0.0319
tiger_full_actions,0.99,10.0,0.3,6.0,5.551115123125783e-17,0.0303
tiger_full_actions,0.99,10.0,0.4,6.0,5.551115123125783e-17,0.0301
tiger_full_actions,0.99,10.0,0.5,5.0,5.551115123125783e-17,0.0301
tiger_full_actions,0.99,10.0,0.6,5.0,5.551115123125783e-17,0.0303
tiger_full_actions,0.99,20.0,0.0,6.0,5.551115123125783e-17,0.0547
tiger_full_actions,0.99,20.0,0.1,6.0,5.551115123125783e-17,0.0555
tiger_full_actions,0.99,20.0,0.2,6.0,5.551115123125783e-17,0.0558
tiger_full_actions,0.99,20.0,0.3,6.0,5.551115123125783e-17,0.0543
tiger_full_actions,0.99,20.0,0.4,6.0,5.551115123125783e-17,0.0542
tiger_full_actions,0.99,20.0,0.5,5.0,5.551115123125783e-17,0.0543
tiger_full_actions,0.99,20.0,0.6,5.0,5.551115123125783e-17,0.0546
tiger_full_actions,0.99,50.0,0.0,6.0,5.551115123125783e-17,0.1272
tiger_full_actions,0.99,50.0,0.1,6.0,5.551115123125783e-17,0.1272
tiger_full_actions,0.99,50.0,0.2,6.0,5.551115123125783e-17,0.1271
tiger_full_actions,0.99,50.0,0.3,6.0,5.551115123125783e-17,0.1271
tiger_full_actions,0.99,50.0,0.4,6.0,5.551115123125783e-17,0.1307
tiger_full_actions,0.99,50.0,0.5,5.0,5.551115123125783e-17,0.1298
tiger_full_actions,0.99,50.0,0.6,5.0,5.551115123125783e-17,0.1302
