benchmark,num_states,horizon,m,epsilon,class_count,total_histories,compression_ratio,policy_count,method,num_samples,runtime_s
gridworld_8x8,64.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,5.0,sampling,500.0,0.456
gridworld_8x8,64.0,2.0,1.0,0.1,6.0,21.0,0.2857142857142857,5.0,sampling,500.0,0.456
gridworld_8x8,64.0,2.0,1.0,0.2,5.0,21.0,0.23809523809523808,5.0,sampling,500.0,0.456
gridworld_8x8,64.0,2.0,1.0,0.3,4.0,21.0,0.19047619047619047,5.0,sampling,500.0,0.456
gridworld_8x8,64.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,5.0,sampling,500.0,0.456
gridworld_8x8,64.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,5.0,sampling,500.0,0.456
gridworld_8x8,64.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,5.0,sampling,500.0,0.456
gridworld_8x8,64.0,2.0,2.0,0.0,6.0,21.0,0.2857142857142857,6405.0,sampling,500.0,427.265
gridworld_8x8,64.0,2.0,2.0,0.1,6.0,21.0,0.2857142857142857,6405.0,sampling,500.0,427.265
gridworld_8x8,64.0,2.0,2.0,0.2,6.0,21.0,0.2857142857142857,6405.0,sampling,500.0,427.265
gridworld_8x8,64.0,2.0,2.0,0.3,4.0,21.0,0.19047619047619047,6405.0,sampling,500.0,427.265
gridworld_8x8,64.0,2.0,2.0,0.4,4.0,21.0,0.19047619047619047,6405.0,sampling,500.0,427.265
gridworld_8x8,64.0,2.0,2.0,0.5,3.0,21.0,0.14285714285714285,6405.0,sampling,500.0,427.265
gridworld_8x8,64.0,2.0,2.0,0.6,3.0,21.0,0.14285714285714285,6405.0,sampling,500.0,427.265
gridworld_10x10,100.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,5.0,sampling,500.0,0.358
gridworld_10x10,100.0,2.0,1.0,0.1,6.0,21.0,0.2857142857142857,5.0,sampling,500.0,0.358
gridworld_10x10,100.0,2.0,1.0,0.2,6.0,21.0,0.2857142857142857,5.0,sampling,500.0,0.358
gridworld_10x10,100.0,2.0,1.0,0.3,4.0,21.0,0.19047619047619047,5.0,sampling,500.0,0.358
gridworld_10x10,100.0,2.0,1.0,0.4,4.0,21.0,0.19047619047619047,5.0,sampling,500.0,0.358
gridworld_10x10,100.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,5.0,sampling,500.0,0.358
gridworld_10x10,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,5.0,sampling,500.0,0.358
gridworld_10x10,100.0,2.0,2.0,0.0,6.0,21.0,0.2857142857142857,6405.0,sampling,500.0,435.149
gridworld_10x10,100.0,2.0,2.0,0.1,6.0,21.0,0.2857142857142857,6405.0,sampling,500.0,435.149
gridworld_10x10,100.0,2.0,2.0,0.2,6.0,21.0,0.2857142857142857,6405.0,sampling,500.0,435.149
gridworld_10x10,100.0,2.0,2.0,0.3,4.0,21.0,0.19047619047619047,6405.0,sampling,500.0,435.149
gridworld_10x10,100.0,2.0,2.0,0.4,4.0,21.0,0.19047619047619047,6405.0,sampling,500.0,435.149
gridworld_10x10,100.0,2.0,2.0,0.5,3.0,21.0,0.14285714285714285,6405.0,sampling,500.0,435.149
gridworld_10x10,100.0,2.0,2.0,0.6,3.0,21.0,0.14285714285714285,6405.0,sampling,500.0,435.149
random_pomdp_50_s7,50.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,3.0,sampling,500.0,0.222
random_pomdp_50_s7,50.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s7,50.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s7,50.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s7,50.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s7,50.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s7,50.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s7,50.0,2.0,2.0,0.0,6.0,21.0,0.2857142857142857,2307.0,sampling,500.0,169.872
random_pomdp_50_s7,50.0,2.0,2.0,0.1,6.0,21.0,0.2857142857142857,2307.0,sampling,500.0,169.872
random_pomdp_50_s7,50.0,2.0,2.0,0.2,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,169.872
random_pomdp_50_s7,50.0,2.0,2.0,0.3,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,169.872
random_pomdp_50_s7,50.0,2.0,2.0,0.4,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,169.872
random_pomdp_50_s7,50.0,2.0,2.0,0.5,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,169.872
random_pomdp_50_s7,50.0,2.0,2.0,0.6,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,169.872
random_pomdp_100_s7,100.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,3.0,sampling,500.0,0.329
random_pomdp_100_s7,100.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s7,100.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s7,100.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s7,100.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s7,100.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s7,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s7,100.0,2.0,2.0,0.0,6.0,21.0,0.2857142857142857,2307.0,sampling,500.0,257.344
random_pomdp_100_s7,100.0,2.0,2.0,0.1,4.0,21.0,0.19047619047619047,2307.0,sampling,500.0,257.344
random_pomdp_100_s7,100.0,2.0,2.0,0.2,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,257.344
random_pomdp_100_s7,100.0,2.0,2.0,0.3,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,257.344
random_pomdp_100_s7,100.0,2.0,2.0,0.4,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,257.344
random_pomdp_100_s7,100.0,2.0,2.0,0.5,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,257.344
random_pomdp_100_s7,100.0,2.0,2.0,0.6,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,257.344
random_pomdp_50_s8,50.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,3.0,sampling,500.0,0.222
random_pomdp_50_s8,50.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s8,50.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s8,50.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s8,50.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s8,50.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s8,50.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.222
random_pomdp_50_s8,50.0,2.0,2.0,0.0,6.0,21.0,0.2857142857142857,2307.0,sampling,500.0,170.697
random_pomdp_50_s8,50.0,2.0,2.0,0.1,5.0,21.0,0.23809523809523808,2307.0,sampling,500.0,170.697
random_pomdp_50_s8,50.0,2.0,2.0,0.2,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,170.697
random_pomdp_50_s8,50.0,2.0,2.0,0.3,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,170.697
random_pomdp_50_s8,50.0,2.0,2.0,0.4,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,170.697
random_pomdp_50_s8,50.0,2.0,2.0,0.5,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,170.697
random_pomdp_50_s8,50.0,2.0,2.0,0.6,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,170.697
random_pomdp_100_s8,100.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,3.0,sampling,500.0,0.329
random_pomdp_100_s8,100.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s8,100.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s8,100.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s8,100.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s8,100.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s8,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,3.0,sampling,500.0,0.329
random_pomdp_100_s8,100.0,2.0,2.0,0.0,6.0,21.0,0.2857142857142857,2307.0,sampling,500.0,258.246
random_pomdp_100_s8,100.0,2.0,2.0,0.1,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,258.246
random_pomdp_100_s8,100.0,2.0,2.0,0.2,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,258.246
random_pomdp_100_s8,100.0,2.0,2.0,0.3,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,258.246
random_pomdp_100_s8,100.0,2.0,2.0,0.4,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,258.246
random_pomdp_100_s8,100.0,2.0,2.0,0.5,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,258.246
random_pomdp_100_s8,100.0,2.0,2.0,0.6,3.0,21.0,0.14285714285714285,2307.0,sampling,500.0,258.246
