benchmark,num_states,horizon,m,epsilon,class_count,total_histories,compression_ratio,method,num_samples,cache_time_s,instance_seed
gridworld_8x8,64.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.8097,
gridworld_8x8,64.0,2.0,1.0,0.1,6.0,21.0,0.2857142857142857,sampling,500.0,0.8097,
gridworld_8x8,64.0,2.0,1.0,0.2,5.0,21.0,0.23809523809523808,sampling,500.0,0.8097,
gridworld_8x8,64.0,2.0,1.0,0.3,4.0,21.0,0.19047619047619047,sampling,500.0,0.8097,
gridworld_8x8,64.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,sampling,500.0,0.8097,
gridworld_8x8,64.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.8097,
gridworld_8x8,64.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.8097,
gridworld_10x10,100.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.3393,
gridworld_10x10,100.0,2.0,1.0,0.1,6.0,21.0,0.2857142857142857,sampling,500.0,0.3393,
gridworld_10x10,100.0,2.0,1.0,0.2,6.0,21.0,0.2857142857142857,sampling,500.0,0.3393,
gridworld_10x10,100.0,2.0,1.0,0.3,4.0,21.0,0.19047619047619047,sampling,500.0,0.3393,
gridworld_10x10,100.0,2.0,1.0,0.4,4.0,21.0,0.19047619047619047,sampling,500.0,0.3393,
gridworld_10x10,100.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.3393,
gridworld_10x10,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.3393,
random_pomdp_50,50.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.2287,7.0
random_pomdp_50,50.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,sampling,500.0,0.2287,7.0
random_pomdp_50,50.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,sampling,500.0,0.2287,7.0
random_pomdp_50,50.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,sampling,500.0,0.2287,7.0
random_pomdp_50,50.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,sampling,500.0,0.2287,7.0
random_pomdp_50,50.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.2287,7.0
random_pomdp_50,50.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.2287,7.0
random_pomdp_50,50.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.227,8.0
random_pomdp_50,50.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,sampling,500.0,0.227,8.0
random_pomdp_50,50.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,sampling,500.0,0.227,8.0
random_pomdp_50,50.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,sampling,500.0,0.227,8.0
random_pomdp_50,50.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,sampling,500.0,0.227,8.0
random_pomdp_50,50.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.227,8.0
random_pomdp_50,50.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.227,8.0
random_pomdp_50,50.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.2266,9.0
random_pomdp_50,50.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,sampling,500.0,0.2266,9.0
random_pomdp_50,50.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,sampling,500.0,0.2266,9.0
random_pomdp_50,50.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,sampling,500.0,0.2266,9.0
random_pomdp_50,50.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,sampling,500.0,0.2266,9.0
random_pomdp_50,50.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.2266,9.0
random_pomdp_50,50.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.2266,9.0
random_pomdp_100,100.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.3405,7.0
random_pomdp_100,100.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,sampling,500.0,0.3405,7.0
random_pomdp_100,100.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,sampling,500.0,0.3405,7.0
random_pomdp_100,100.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,sampling,500.0,0.3405,7.0
random_pomdp_100,100.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,sampling,500.0,0.3405,7.0
random_pomdp_100,100.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.3405,7.0
random_pomdp_100,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.3405,7.0
random_pomdp_100,100.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.3546,8.0
random_pomdp_100,100.0,2.0,1.0,0.0,6.0,21.0,0.2857142857142857,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.1,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.2,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.3,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.4,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.5,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
random_pomdp_100,100.0,2.0,1.0,0.6,3.0,21.0,0.14285714285714285,sampling,500.0,0.3582,9.0
